ID_OKEI;Name
3;Миллиметр
4;Сантиметр
5;Дециметр
6;Метр
8;"Километр;^тысяча метров"
9;"Мегаметр;^миллион метров"
15;Нанометр
18;Погонный метр
19;Тысяча погонных метров
20;Условный метр
39;Дюйм (25,4 мм)
41;Фут (0,3048 м)
43;Ярд (0,9144 м)
47;Морская миля (1852 м)
48;Тысяча условных метров
49;Километр условных труб
50;Квадратный миллиметр
51;Квадратный сантиметр
53;Квадратный дециметр
54;Тысяча квадратных дециметров
55;Квадратный метр
56;Миллион квадратных дециметров
57;Миллион квадратных метров
58;Тысяча квадратных метров
59;Гектар
60;Тысяча гектаров
61;Квадратный километр
62;Условный квадратный метр
63;Тысяча условных квадратных метров
64;Миллион условных квадратных метров
71;Квадратный дюйм (645,16 мм2)
73;Квадратный фут (0,092903 м2)
75;Квадратный ярд (0,8361274 м2)
81;Квадратный метр общей площади
82;Тысяча квадратных метров общей площади
83;Миллион квадратных метров общей площади
84;Квадратный метр жилой площади
85;Тысяча квадратных метров жилой площади
86;Миллион квадратных метров жилой площади
87;Квадратный метр учебно-лабораторных зданий
88;Тысяча квадратных метров учебно-лабораторных зданий
89;Миллион квадратных метров в двухмиллиметровом исчислении
109;Ар (100 м2)
110;Кубический миллиметр
111;"Кубический сантиметр;^миллилитр"
112;"Литр;^кубический дециметр"
113;Кубический метр
114;Тысяча кубических метров
115;Миллиард кубических метров
116;Декалитр
118;Децилитр
119;Тысяча декалитров
120;Миллион декалитров
121;Плотный кубический метр
122;Гектолитр
123;Условный кубический метр
124;Тысяча условных кубических метров
125;Миллион кубических метров переработки газа
126;Мегалитр
127;Тысяча плотных кубических метров
128;Тысяча полулитров
129;Миллион полулитров
130;"Тысяча литров;^1000 литров"
131;Кубический дюйм (16387,1 мм3)
132;Кубический фут (0,02831685 м3)
133;Кубический ярд (0,764555 м3)
159;Миллион кубических метров
160;Гектограмм
161;Миллиграмм
162;Метрический карат^(1 карат=200 мг=2.10[-4*] кг)
163;Грамм
164;Микрограмм
165;Тысяча каратов метрических
166;Килограмм
167;Миллион каратов метрических
168;"Тонна;^метрическая тонна (1000 кг)"
169;Тысяча тонн
170;Килотонна
171;Миллион тонн
172;Тонна условного топлива
173;Сантиграмм
175;Тысяча тонн условного топлива
176;Миллион тонн условного топлива
177;Тысяча тонн единовременного хранения
178;Тысяча тонн переработки
179;Условная тонна
181;Брутто-регистровая тонна (2,8316 м[3*])
185;Грузоподъемность в метрических тоннах
206;"Центнер (метрический)^(100 кг);^ гектокилограмм;^ квинтал[*] (метрический);^децитоннах"
207;Тысяча центнеров
212;Ватт
214;Киловатт
215;"Мегаватт;^тысяча киловатт"
222;Вольт
223;Киловольт
226;Вольт-ампер
227;Киловольт-ампер
228;Мегавольт-ампер (тысяча киловольт-ампер)
230;Киловар
231;Метр в час
232;Килокалория
233;Гигакалория
234;Тысяча гигакалорий
235;Миллион гигакалорий
236;Калория в час
237;Килокалория в час
238;Гигакалория в час
239;Тысяча гигакалорий в час
241;Миллион ампер-часов
242;Миллион киловольт-ампер
243;Ватт-час
245;Киловатт-час
246;"Мегаватт-час;^1000 киловатт-часов"
247;Гигаватт-час (миллион киловатт-часов)
248;Киловольт-ампер реактивный
249;Миллиард киловатт-часов
250;Тысяча киловольт-ампер реактивных
251;Лошадиная сила
252;Тысяча лошадиных сил
253;Миллион лошадиных сил
254;Бит
255;Байт
256;Килобайт
257;Мегабайт
258;Бод
260;Ампер
263;Ампер-час (3,6 кКл)
264;Тысяча ампер-часов
270;Кулон
271;Джоуль
273;Килоджоуль
274;Ом
276;Грей
277;Микрогрей
278;Миллигрей
279;Килогрей
280;Градус Цельсия
281;Градус Фаренгейта
282;Кандела
283;Люкс
284;Люмен
287;Генри
288;Кельвин
289;Ньютон
290;Герц
291;Килогерц
292;Мегагерц
293;Гигагерц
294;Паскаль
295;Терагерц
296;Сименс
297;Килопаскаль
298;Мегапаскаль
300;Физическая атмосфера (101325 Па)
301;Техническая атмосфера (98066,5 Па)
302;Гигабеккерель
303;Килобеккерель
304;Милликюри
305;Кюри
306;Грамм делящихся изотопов
307;Мегабеккерель
308;Миллибар
309;Бар
310;Гектобар
312;Килобар
313;Тесла
314;Фарад
316;Киллограмм на кубический метр
317;Килограмм на квадратный сантиметр
318;Зиверт
319;Микрозиверт
320;Моль
321;Миллизиверт
323;Беккерель
324;Вебер
327;Узел (миля/ч)
328;Метр в секунду
330;Оборот в секунду
331;Оборот в минуту
333;Километр в час
335;Метр на секунду в квадрате
337;Миллиметр водяного столба
338;Миллиметр ртутного столба
339;Сантиметр водяного столба
340;Грамм условного топлива на 1 киловатт-час
341;Килограмм условного топлива на одну гигакалорию
348;Фемтосекунда
349;Кулон на килограмм
350;Пикосекунда
351;Наносекунда
352;Микросекунда
353;Миллисекунда
354;Секунда
355;Минута
356;Час
359;Сутки
360;Неделя
361;Декада
362;Месяц
364;Квартал
365;Полугодие
366;Год
368;Десятилетие
383;Рубль
384;Тысяча рублей
385;Миллион рублей
386;Миллиард рублей
387;Триллион рублей
388;Квадрильон рублей
414;Пассажиро-километр
421;Пассажирское место (пассажирских мест)
423;Тысяча пассажиро-километров
424;Миллион пассажиро-километров
426;Пар грузовых поездов в сутки
427;Пассажиропоток
449;Тонно-километр
450;Тысяча тонно-километров
451;Миллион тонно-километров
479;Тысяча наборов
499;Килограмм в секунду
508;Тысяча метров кубических в час
509;Километр в сутки
510;Грамм на киловатт-час
511;Килограмм на гигакалорию
512;Тонно-номер
513;Автотонна
514;Тонна тяги
515;Дедвейт-тонна
516;Тонна-танид
521;Человек на квадратный метр
522;Человек на квадратный километр
533;Тонна пара в час
534;Тонна в час
535;Тонна в сутки
536;Тонна в смену
537;Тысяча тонн в сезон
538;Тысяча тонн в год
539;Человеко-час
540;Человеко-день
541;Тысяча человеко-дней
542;Тысяча человеко-часов
543;Тысяча условных банок в смену
544;Миллион единиц в год
545;Посещение в смену
546;Тысяча посещений в смену
547;Пара в смену
548;Тысяча пар в смену
550;Миллион тонн в год
552;Тонна переработки в сутки
553;Тысяча тонн переработки в сутки
554;Центнер переработки в сутки
555;Тысяча центнеров переработки в сутки
556;Тысяча голов в год
557;Миллион голов в год
558;Тысяча птицемест
559;Тысяча кур-несушек
560;Минимальная заработная плата
561;Тысяча тонн пара в час
562;Тысяча прядильных веретен
563;Тысяча прядильных мест
596;Кубический метр в секунду
598;Кубический метр в час
599;Тысяча кубических метров в сутки
616;Бобина
625;Лист
626;Сто листов
630;Тысяча стандартных условных кирпичей
639;Доза
640;Тысяча доз
641;Дюжина (12 шт.)
642;Единица
643;Тысяча единиц
644;Миллион единиц
657;Изделие
661;Канал
673;Тысяча комплектов
683;Сто ящиков
698;Место
699;Тысяча мест
704;Набор
709;Тысяча номеров
715;Пара (2 шт.)
724;Тысяча гектаров порций
728;Пачка
729;Тысяча пачек
730;Два десятка
732;Десять пар
733;Дюжина пар
734;Посылка
735;Часть
736;Рулон
737;Дюжина рулонов
740;Дюжина штук
744;Процент
745;Элемент
746;Промилле (0,1 процента)
747;Базисный пункт
751;Тысяча рулонов
761;Тысяча станов
762;Станция
775;Тысяча тюбиков
776;Тысяча условных тубов
778;Упаковка
779;Миллион упаковок
780;Дюжина упаковок
781;Сто упаковок
782;Тысяча упаковок
792;Человек
793;Тысяча человек
794;Миллион человек
796;Штука
797;Сто штук
798;Тысяча штук
799;Миллион штук
800;Миллиард штук
801;"Биллион штук (Европа);^триллион штук"
802;Квинтильон штук (Европа)
808;Миллион экземпляров
810;Ячейка
812;Ящик
820;Крепость спирта по массе
821;Крепость спирта по объему
831;Литр чистого (100 %) спирта
833;Гектолитр чистого (100 %) спирта
836;Голова
837;Тысяча пар
838;Миллион пар
839;Комплект
840;Секция
841;Килограмм пероксида водорода
845;Килограмм 90 %-го сухого вещества
847;Тонна 90 %-го сухого вещества
852;Килограмм оксида калия
859;Килограмм гидроксида калия
861;Килограмм азота
863;Килограмм гидроксида натрия
865;Килограмм пятиокиси фосфора
867;Килограмм урана
868;Бутылка
869;Тысяча бутылок
870;Ампула
871;Тысяча ампул
872;Флакон
873;Тысяча флаконов
874;Тысяча тубов
875;Тысяча коробок
876;Условная единица
877;Тысяча условных единиц
878;Миллион условных единиц
879;Условная штука
880;Тысяча условных штук
881;Условная банка
882;Тысяча условных банок
883;Миллион условных банок
884;Условный кусок
885;Тысяча условных кусков
886;Миллион условных кусков
887;Условный ящик
888;Тысяча условных ящиков
889;Условная катушка
890;Тысяча условных катушек
891;Условная плитка
892;Тысяча условных плиток
893;Условный кирпич
894;Тысяча условных кирпичей
895;Миллион условных кирпичей
896;Семья
897;Тысяча семей
898;Миллион семей
899;Домохозяйство
900;Тысяча домохозяйств
901;Миллион домохозяйств
902;Ученическое место
903;Тысяча ученических мест
904;Рабочее место
905;Тысяча рабочих мест
906;Посадочное место
907;Тысяча посадочных мест
908;Номер
909;Квартира
910;Тысяча квартир
911;Койка
912;Тысяча коек
913;Том книжного фонда
914;Тысяча томов книжного фонда
915;Условный ремонт
916;Условный ремонт в год
917;Смена
918;Лист авторский
920;Лист печатный
921;Лист учетно-издательский
922;Знак
923;Слово
924;Символ
925;Условная труба
930;Тысяча пластин
937;Миллион доз
949;Миллион листов-оттисков
950;Вагоно (машино)-день
951;Тысяча вагоно (машино)-часов
952;Тысяча вагоно (машино)-километров
953;Тысяча место-километров
954;Вагоно-сутки
955;Тысяча поездо-часов
956;Тысяча поездо-километров
957;Тысяча тонно-миль
958;Тысяча пассажиро-миль
959;Автомобиле-день
960;Тысяча автомобиле-тонно-дней
961;Тысяча автомобиле-часов
962;Тысяча автомобиле-место-дней
963;Приведенный час
964;Самолето-километр
965;Тысяча километров
966;Тысяча тоннаже-рейсов
967;Миллион тонно-миль
968;Миллион пассажиро-миль
969;Миллион тоннаже-миль
970;Миллион пассажиро-место-миль
971;Кормо-день
972;Центнер кормовых единиц
973;Тысяча автомобиле-километров
974;Тысяча тоннаже-суток
975;Суго-сутки
976;Штук в 20-футовом эквиваленте (ДФЭ)
977;Канало-километр
978;Канало-концы
979;Тысяча экземпляров
980;Тысяча долларов
981;Тысяча тонн кормовых единиц
982;Миллион тонн кормовых единиц
983;Судо-сутки
984;Центнеров с гектара
985;Тысяча голов
986;Тысяча краско-оттисков
987;Миллион краско-оттисков
988;Миллион условных плиток
989;Человек в час
990;Пассажиров в час
991;Пассажиро-миля
2311;Грей в секунду
2312;Грей в минуту
2313;Грей в час
2314;Микрогрей в секунду
2315;Микрогрей в час
2316;Миллигрей в час
2351;Зиверт в час
2352;Микрозиверт в секунду
2353;Микрозиверт в час
2354;Миллизиверт в час
2355;Градус (плоского угла)
2356;Минута (плоского угла)
2357;Секунда (плоского угла)
2541;Бит в секунду
2543;Килобит в секунду
2545;Мегабит в секунду
2547;Гигабит в секунду
2551;Байт в секунду
2552;Гигабайт в секунду
2553;Гигабайт
2554;Терабайт
2555;Петабайт
2556;Эксабайт
2557;Зеттабайт
2558;Йоттабайт
2561;Килобайт в секунду
2571;Мегабайт в секунду
2581;Эрланг
2931;Гигагерц
3135;Децибел
3181;Человеко-зиверт
3231;Беккерель на метр кубический
3831;Рубль тонна
3841;Тысяча рублей на человека
5401;Дето-день
5423;Человек в год
5451;Посещение
5562;Тысяча гнезд
6421;Единиц в год
6422;Вызов
6423;Посевная единица
6424;Штамм
7923;Абонент
8361;Особь
8751;Коробка
9061;Миллион гектаров
9062;Миллиард гектаров
9111;Койко-день
9113;Пациенто-день
9245;Запись
9246;Документ
9491;Лист-оттиск
9501;Вагоно (машино)-час
9557;Миллион голов
9641;Летный час
9642;Балл
9802;Миллион долларов
9803;Миллиард долларов
9805;Доллар за тонну
9822;Миллион евро
9823;Миллиард евро
9910;Международная единица биологической активности
9911;Тысяча международных единиц биологической активности
9912;Миллион международных единиц биологической активности
9913;Международная единица биологической активности на грамм
9914;Тысяча международных единиц биологической активности на грамм
9915;Миллион международных единиц биологической активности на грамм
9916;Международная единица биологической активности на миллилитр
9917;Тысяча международных единиц биологической активности на миллилитр
9918;Миллион международных единиц биологической активности на миллилитр
9920;Единица действия биологической активности
9921;Единица действия биологической активности на грамм
9922;Тысяча единиц действия биологической активности на грамм
9923;Единица действия биологической активности на микролитр
9924;Единица действия биологической активности на миллилитр
9925;Тысяча единиц действия биологической активности на миллилитр
9926;Миллион единиц действия биологической активности на миллилитр
9927;Единица действия биологической активности в сутки
9930;Антитоксическая единица
9931;Тысяча антитоксических единиц
9940;Антитрипсиновая единица
9941;Тысяча антитрипсиновых единиц
9950;Индекс Реактивности
9951;Индекс Реактивности на миллилитр
9960;Килобеккерель на миллилитр
9961;Мегабеккерель на миллилитр
9962;Мегабеккерель на метр квадратный
9970;Калликреиновая ингибирующая единица на миллилитр
9971;Тысяча калликреиновых ингибирующих единиц на миллилитр
9980;Миллион колониеобразующих единиц
9981;Миллион колониеобразующих единиц на пакет
9982;Миллиард колониеобразующих единиц
9983;Протеолитическая единица
9985;Микрограмм на миллилитр
9986;Микрограмм в сутки
9987;Микрограмм в час
9988;Микрограмм на дозу
9990;Миллимоль на миллилитр
9991;Миллимоль на литр
